DATE,VALUE
1913-01-01,2.48491
1913-04-01,2.47654
1913-07-01,2.49321
1913-10-01,2.49321
1914-01-01,2.46810
1914-04-01,2.45101
1914-07-01,2.47654
1914-10-01,2.45959
1915-01-01,2.46810
1915-04-01,2.46810
1915-07-01,2.46810
1915-10-01,2.51770
1916-01-01,2.61007
1916-04-01,2.65324
1916-07-01,2.68785
1916-10-01,2.80336
1917-01-01,2.89037
1917-04-01,3.02042
1917-07-01,3.05871
1917-10-01,3.05400
1918-01-01,3.06805
1918-04-01,3.09558
1918-07-01,3.14415
1918-10-01,3.15700
1919-01-01,3.12236
1919-04-01,3.14415
1919-07-01,3.19867
1919-10-01,3.22287
1920-01-01,3.30322
1920-04-01,3.35690
1920-07-01,3.32143
1920-10-01,3.13114
1921-01-01,2.91777
1921-04-01,2.80940
1921-07-01,2.77882
1921-10-01,2.77882
1922-01-01,2.76632
1922-04-01,2.79728
1922-07-01,2.83908
1922-10-01,2.85071
1923-01-01,2.87920
1923-04-01,2.86790
1923-07-01,2.83321
1923-10-01,2.83321
1924-01-01,2.83908
1924-04-01,2.80336
1924-07-01,2.80940
1924-10-01,2.84491
1925-01-01,2.87920
1925-04-01,2.86790
1925-07-01,2.88480
1925-10-01,2.88480
1926-01-01,2.86790
1926-04-01,2.85071
1926-07-01,2.83908
1926-10-01,2.83321
1927-01-01,2.80336
1927-04-01,2.78501
1927-07-01,2.79728
1927-10-01,2.80940
1928-01-01,2.80336
1928-04-01,2.81541
1928-07-01,2.82731
1928-10-01,2.80940
1929-01-01,2.80336
1929-04-01,2.79728
1929-07-01,2.80940
1929-10-01,2.78501
1930-01-01,2.75366
1930-04-01,2.72785
1930-07-01,2.67415
1930-10-01,2.63906
1931-01-01,2.58776
1931-04-01,2.53370
1931-07-01,2.51770
1931-10-01,2.48491
1932-01-01,2.44235
1932-04-01,2.40695
1932-07-01,2.41591
1932-10-01,2.39790
1933-01-01,2.34181
1933-04-01,2.37955
1933-07-01,2.48491
1933-10-01,2.50960
1934-01-01,2.53370
1934-04-01,2.54945
1934-07-01,2.58022
1934-10-01,2.58022
1935-01-01,2.61740
1935-04-01,2.62467
1935-07-01,2.62467
1935-10-01,2.63189
1936-01-01,2.62467
1936-04-01,2.61007
1936-07-01,2.63906
1936-10-01,2.65324
1937-01-01,2.70136
1937-04-01,2.71469
1937-07-01,2.71469
1937-10-01,2.66723
1938-01-01,2.62467
1938-04-01,2.60269
1938-07-01,2.60269
1938-10-01,2.59525
1939-01-01,2.58776
1939-04-01,2.57261
1939-07-01,2.58022
1939-10-01,2.61740
1940-01-01,2.61007
1940-04-01,2.60269
1940-07-01,2.59525
1940-10-01,2.61740
1941-01-01,2.63189
1941-04-01,2.68785
1941-07-01,2.74727
1941-10-01,2.77259
1942-01-01,2.81541
1942-04-01,2.83321
1942-07-01,2.83908
1942-10-01,2.85071
1943-01-01,2.87356
1943-04-01,2.88480
1943-07-01,2.87920
1943-10-01,2.87920
1944-01-01,2.87920
1944-04-01,2.88480
1944-07-01,2.88480
1944-10-01,2.89037
1945-01-01,2.89591
1945-04-01,2.90690
1945-07-01,2.90142
1945-10-01,2.90690
1946-01-01,2.92316
1946-04-01,2.95491
1946-07-01,3.07731
1946-10-01,3.16969
1947-01-01,3.21084
1947-04-01,3.21888
1947-07-01,3.24649
1947-10-01,3.28840
1948-01-01,3.31054
1948-04-01,3.31419
1948-07-01,3.33577
1948-10-01,3.32143
1949-01-01,3.29584
1949-04-01,3.26957
1949-07-01,3.25810
1949-10-01,3.25810
1950-01-01,3.25810
1950-04-01,3.27336
1950-07-01,3.32863
1950-10-01,3.37074
1951-01-01,3.42751
1951-04-01,3.42426
1951-07-01,3.40784
1951-10-01,3.40453
1952-01-01,3.39786
1952-04-01,3.38777
1952-07-01,3.39115
1952-10-01,3.37759
1953-01-01,3.37074
1953-04-01,3.36730
1953-07-01,3.38099
1953-10-01,3.37417
1954-01-01,3.37759
1954-04-01,3.37759
1954-07-01,3.37759
1954-10-01,3.37074
1955-01-01,3.37417
1955-04-01,3.37417
1955-07-01,3.38099
1955-10-01,3.38439
1956-01-01,3.39451
1956-04-01,3.40784
1956-07-01,3.41444
1956-10-01,3.42426
1957-01-01,3.43399
1957-04-01,3.43721
1957-07-01,3.44362
1957-10-01,3.44362
1958-01-01,3.45316
1958-04-01,3.45316
1958-07-01,3.45316
1958-10-01,3.45316
1959-01-01,3.45632
1959-04-01,3.45947
1959-07-01,3.45632
1959-10-01,3.44999
1960-01-01,3.45632
1960-04-01,3.45632
1960-07-01,3.45316
1960-10-01,3.45632
1961-01-01,3.45947
1961-04-01,3.44999
1961-07-01,3.44999
1961-10-01,3.44999
1962-01-01,3.45632
1962-04-01,3.44999
1962-07-01,3.45632
1962-10-01,3.45632
1963-01-01,3.44999
1963-04-01,3.44999
1963-07-01,3.45316
1963-10-01,3.45316
1964-01-01,3.45632
1964-04-01,3.44999
1964-07-01,3.45316
1964-10-01,3.45632
1965-01-01,3.46261
1965-04-01,3.47197
1965-07-01,3.47816
1965-10-01,3.48431
1966-01-01,3.49953
1966-04-01,3.50255
